Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Account: dashboard,52,6,13000.0,11853.045446362767,29.124374996172264,20233.319916995242,10342.923076923076,0.2902310204974734,0.033488194672785396,13000,15000,17000,18000,18000,18000,18000,20000,20000,20000,20000
GET,Account: my orders,52,3,12000.0,12588.057383865256,60.45916597940959,19765.707124985056,11404.75,0.2902310204974734,0.016744097336392698,12000,15000,16000,17000,18000,18000,18000,20000,20000,20000,20000
GET,Asset: media from plants category,177,1,50,60.45728742926366,34.6292500034906,583.4404169872869,49559.41242937853,0.9879017428471691,0.005581365778797566,50,52,55,57,91,110,210,290,580,580,580
GET,Asset: media from product detail,162,3,49,68.40154704965514,23.147375002736226,2322.989875014173,35954.82716049383,0.9041812561652056,0.016744097336392698,49,52,53,55,77,99,190,230,2300,2300,2300
GET,Asset: media from store,192,6,50,90.77783417630296,1.8916670233011246,4351.064542017411,29708.65625,1.0716222295291327,0.033488194672785396,50,52,56,60,100,220,420,470,4400,4400,4400
GET,Asset: static from home,2854,158,50,142.7027673539207,2.4781669781077653,5233.086791005917,174319.91450595655,15.929217932688253,0.8818557930500154,50,56,78,98,330,480,940,1800,5100,5200,5200
GET,Asset: static from plants category,1947,58,49,76.15553742710168,1.0767079947981983,8184.7635000012815,40478.65793528505,10.86691917131886,0.3237192151702588,49,53,55,59,94,110,250,480,4900,8200,8200
GET,Asset: static from product detail,1782,37,49,61.51762703370852,2.1524999756366014,967.7982499997597,40599.06172839506,9.945993817817262,0.20651053381550993,49,53,56,60,93,110,200,320,700,970,970
GET,Asset: static from store,2116,92,49,90.65691022810748,0.8631249947939068,5162.791374983499,40285.35396975425,11.81016998793565,0.5134856516493761,49,53,56,62,100,180,470,950,5000,5200,5200
GET,Auth: dashboard check,80,10,12000.0,9682.780731236562,35.899958020308986,15535.679249995155,10230.5,0.4465092623038053,0.05581365778797566,12000,13000,14000,14000,15000,15000,15000,16000,16000,16000,16000
POST,Auth: login POST,103,23,7700.0,8089.011332126972,9.890833985991776,15611.942959018052,0.0,0.5748806752161493,0.12837141291234402,7700,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000
GET,Auth: login page,103,0,8700.0,9052.835097883713,191.51408300967887,20014.393791003386,10442.0,0.5748806752161493,0.0,8700,12000,14000,15000,17000,18000,20000,20000,20000,20000,20000
GET,Browse: home,259,20,12000.0,10560.342607599003,16.56687501235865,19378.65741699352,18532.18918918919,1.4455737367085695,0.11162731557595132,12000,13000,13000,14000,15000,17000,18000,18000,19000,19000,19000
GET,Browse: plants category,207,30,13000.0,11583.05602963687,16.66562500759028,19936.597041989444,14579.840579710144,1.155342716211096,0.16744097336392696,13000,13000,14000,14000,16000,17000,17000,18000,20000,20000,20000
GET,Browse: product detail,188,26,13000.0,11780.298706122263,58.90341699705459,18145.44183399994,23424.25,1.0492967664139423,0.1451155102487367,13000,13000,13000,14000,18000,18000,18000,18000,18000,18000,18000
GET,Browse: search,203,31,13000.0,11858.103306242183,145.9298330009915,18290.307208982995,11811.108374384237,1.133017253095906,0.17302233914272455,13000,13000,14000,14000,17000,18000,18000,18000,18000,18000,18000
GET,Browse: store,224,30,13000.0,11479.490375379097,6.49716702173464,20180.977209005505,18648.25,1.2502259344506548,0.16744097336392696,13000,14000,14000,14000,16000,17000,20000,20000,20000,20000,20000
POST,Cart: add item POST,52,9,25000.0,23006.64594715188,50.21474999375641,30880.276083014905,31451.634615384617,0.2902310204974734,0.050232292009178094,25000,25000,26000,26000,26000,27000,29000,31000,31000,31000,31000
GET,Cart: seed from store,34,7,12000.0,10090.13273891041,143.6019579996355,14397.324749996187,18084.441176470587,0.18976643647911723,0.03906956045158296,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000
POST,Cart: seed item,19,6,25000.0,21285.591129467848,11935.773083998356,26088.469709007768,26215.57894736842,0.10604594979715375,0.033488194672785396,25000,25000,25000,26000,26000,26000,26000,26000,26000,26000,26000
GET,Cart: store before add,52,8,13000.0,11369.689100939118,190.43545800377615,17501.788749999832,19269.46153846154,0.2902310204974734,0.04465092623038053,13000,13000,13000,14000,14000,17000,17000,18000,18000,18000,18000
GET,Cart: view,45,0,13000.0,12704.10499720084,11410.997875005705,13766.684999980498,37845.11111111111,0.25116146004589046,0.0,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000
GET,Checkout: page,12,1,13000.0,11871.944784831916,45.07058399030939,13587.860792002175,19455.666666666668,0.06697638934557079,0.005581365778797566,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000
GET,Customer: home,52,8,13000.0,11697.458142654235,270.46641701599583,17898.1003749941,18048.46153846154,0.2902310204974734,0.04465092623038053,13000,13000,14000,14000,17000,18000,18000,18000,18000,18000,18000
GET,Customer: product detail,52,0,13000.0,13194.410635365504,10363.362666976172,17956.543957989197,28652.5,0.2902310204974734,0.0,13000,14000,14000,14000,15000,17000,17000,18000,18000,18000,18000
GET,Customer: store,52,4,13000.0,12764.67539832699,47.50954199698754,18068.718624999747,21021.23076923077,0.2902310204974734,0.022325463115190264,13000,14000,15000,16000,17000,18000,18000,18000,18000,18000,18000
POST,Profile: cart add,50,7,25000.0,23983.38119004038,52.28995901416056,30549.18087500846,32628.0,0.2790682889398783,0.03906956045158296,25000,26000,27000,28000,30000,30000,31000,31000,31000,31000,31000
GET,Profile: cart read,17,3,13000.0,12127.840424054097,128.07137501658872,20148.090083006537,31166.117647058825,0.09488321823955861,0.016744097336392698,13000,14000,15000,17000,18000,20000,20000,20000,20000,20000,20000
GET,Profile: cart store page,56,4,13000.0,12023.731316981866,70.36945800064132,18100.248208007542,21146.35714285714,0.3125564836126637,0.022325463115190264,13000,13000,14000,14000,17000,18000,18000,18000,18000,18000,18000
GET,Profile: checkout read,15,0,13000.0,12555.642758335065,11229.869041999336,14269.149333995301,21224.2,0.08372048668196348,0.0,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000
,Aggregated,11209,591,52,2186.4445587764103,0.8631249947939068,30880.276083014905,70381.54251048264,62.56152901454191,3.298587175269361,52,66,110,340,12000,14000,17000,19000,28000,31000,31000
